GPSTimeOfFixUTC,Latitude,Longitude,WindSpeed,WindDirection,Temperature,Pressure,Speed m_per_s
2023-04-11 14:59:25.800,40.3502,-74.64963,0.7,209.6,18.4,1021.79915943,0.01028888
2023-04-11 14:59:26.800,40.3502,-74.64963,0.5,203.1,18.4,1021.79915943,0.01543332
2023-04-11 14:59:27.800,40.3502,-74.64963166666666,0.7,196.4,18.4,1021.79915943,0.02057776
2023-04-11 14:59:28.800,40.3502,-74.64963166666666,1.0,254.4,18.4,1021.90075113,0.01543332
2023-04-11 14:59:29.800,40.35020166666666,-74.64963166666666,0.8,263.6,18.4,1021.99895644,0.01028888
2023-04-11 14:59:30.800,40.35020333333333,-74.64963166666666,0.6,268.4,18.4,1021.99895644,0.00514444
2023-04-11 14:59:31.800,40.35020333333333,-74.64963333333333,0.7,258.6,18.4,1022.10054814,0.01028888
2023-04-11 14:59:32.800,40.350205,-74.64963333333333,0.6,255.6,18.4,1022.20213984,0.01543332
2023-04-11 14:59:33.800,40.350206666666665,-74.649635,0.5,209.9,18.4,1022.20213984,0.02057776
2023-04-11 14:59:34.800,40.350206666666665,-74.649635,0.6,210.8,18.4,1022.30034515,0.02057776
2023-04-11 14:59:35.800,40.350208333333335,-74.64963666666667,0.8,253.5,18.4,1022.30034515,0.01543332
2023-04-11 14:59:36.800,40.35021,-74.64963666666667,0.8,260.3,18.5,1022.40193685,0.01543332
2023-04-11 14:59:37.800,40.35021,-74.64963666666667,0.9,265.0,18.5,1022.40193685,0.01028888
2023-04-11 14:59:38.800,40.35021166666667,-74.64963666666667,0.7,277.4,18.5,1022.50014216,0.01543332
2023-04-11 14:59:39.800,40.350213333333336,-74.649635,0.6,250.2,18.5,1022.60173386,0.01543332
2023-04-11 14:59:40.800,40.350213333333336,-74.649635,0.7,227.9,18.5,1022.60173386,0.01543332
2023-04-11 14:59:41.800,40.35021666666667,-74.649635,0.5,227.8,18.5,1022.60173386,0.00514444
2023-04-11 14:59:42.800,40.35021833333333,-74.64963666666667,0.3,265.0,18.5,1022.69993917,0.00514444
2023-04-11 14:59:43.800,40.35022166666667,-74.649635,0.3,316.2,18.5,1022.69993917,0.01028888
2023-04-11 14:59:44.800,40.35022333333333,-74.64963666666667,0.2,316.1,18.5,1022.69993917,0.02057776
2023-04-11 14:59:45.800,40.35022333333333,-74.64963666666667,0.1,71.9,18.5,1022.69993917,0.0
2023-04-11 14:59:46.800,40.350225,-74.64963666666667,0.2,121.7,18.5,1022.69993917,0.0
2023-04-11 14:59:47.800,40.35022833333333,-74.64963666666667,0.1,2.8,18.5,1022.69993917,0.0
2023-04-11 14:59:48.800,40.350231666666666,-74.64963666666667,0.2,48.3,18.5,1022.69993917,0.00514444
2023-04-11 14:59:49.800,40.350231666666666,-74.64963666666667,0.3,48.3,18.6,1022.69993917,0.01028888
2023-04-11 14:59:50.800,40.350231666666666,-74.64963666666667,0.3,30.9,18.6,1022.69993917,0.01028888
2023-04-11 14:59:51.800,40.350231666666666,-74.649635,0.2,0.2,18.6,1022.69993917,0.01028888
2023-04-11 14:59:52.800,40.350233333333335,-74.649635,0.4,336.7,18.6,1022.69993917,0.01028888
2023-04-11 14:59:53.800,40.350233333333335,-74.64963333333333,0.5,331.5,18.6,1022.69993917,0.00514444
2023-04-11 14:59:54.800,40.350235,-74.64963166666666,0.8,305.2,18.6,1022.80153087,0.0
2023-04-11 14:59:55.800,40.35023666666667,-74.64963,1.1,300.7,18.6,1022.80153087,0.01028888
2023-04-11 14:59:56.800,40.35023666666667,-74.64963,1.1,293.0,18.6,1022.89973618,0.01028888
2023-04-11 14:59:57.800,40.350235,-74.64963,1.0,306.1,18.6,1023.00132788,0.01543332
2023-04-11 14:59:58.800,40.350233333333335,-74.64963,1.1,300.2,18.6,1023.00132788,0.01543332
2023-04-11 14:59:59.800,40.35023,-74.64963,1.3,306.5,18.6,1023.09953319,0.00514444
2023-04-11 15:00:00.800,40.350225,-74.64962833333334,1.0,310.1,18.6,1023.09953319,0.0
2023-04-11 15:00:01.800,40.35022166666667,-74.64962833333334,0.8,292.8,18.6,1023.09953319,0.00514444
2023-04-11 15:00:02.800,40.35021833333333,-74.64962666666666,0.9,291.0,18.6,1023.09953319,0.01028888
